Team,SEASON,YEAR,ERA,GP,W,L,WIN_PCT,ORtg,DRtg,NRtg,eFG%,TS%,3PA,3P%,FG3M,Pace,AST%,AST_TO,AST_RATIO,TOV%,ORB%,DRB%,REB_PCT,FTA_RATE,PIE,PTS,FG%,FT%,OPP_OPP_PTS,OPP_OPP_FG_PCT
Portland Trail Blazers,2023-24,2024,2020s,82,21,61,0.2560975609756097,107.6,116.6,-9.0,0.503,0.539,33.2,0.345,11.5,97.88,0.587,1.52,16.7,0.154,0.32,0.697,0.498,0.228,0.434,106.4,0.439,0.791,115.4,0.491
Sacramento Kings,2023-24,2024,2020s,82,46,36,0.5609756097560976,116.2,114.4,1.8,0.556,0.582,39.3,0.366,14.4,99.46,0.654,2.16,19.9,0.131,0.285,0.744,0.507,0.229,0.5,116.6,0.477,0.745,114.8,0.48
San Antonio Spurs,2023-24,2024,2020s,82,22,60,0.2682926829268293,109.3,115.6,-6.4,0.532,0.563,36.4,0.347,12.6,101.8,0.712,1.97,20.5,0.148,0.269,0.721,0.492,0.22,0.48,112.1,0.462,0.782,118.6,0.487
Toronto Raptors,2023-24,2024,2020s,82,25,57,0.3048780487804878,111.8,118.1,-6.3,0.535,0.566,33.1,0.347,11.5,99.91,0.674,2.04,19.9,0.139,0.281,0.694,0.484,0.241,0.474,112.4,0.471,0.756,118.8,0.491
Utah Jazz,2023-24,2024,2020s,82,31,51,0.3780487804878049,114.5,119.6,-5.1,0.539,0.579,36.5,0.354,12.9,100.26,0.648,1.74,18.9,0.155,0.325,0.717,0.521,0.251,0.478,115.7,0.467,0.83,120.5,0.487
Washington Wizards,2023-24,2024,2020s,82,15,67,0.1829268292682926,110.2,118.9,-8.7,0.538,0.567,35.5,0.348,12.4,103.07,0.65,2.0,19.5,0.136,0.24,0.683,0.459,0.221,0.454,113.7,0.47,0.764,123.0,0.496
Atlanta Hawks,2024-25,2025,2020s,82,40,42,0.4878048780487805,113.7,114.8,-1.1,0.546,0.579,37.7,0.358,13.5,103.41,0.682,1.91,19.9,0.149,0.3,0.715,0.503,0.252,0.498,118.2,0.472,0.775,119.3,0.481
Boston Celtics,2024-25,2025,2020s,82,61,21,0.7439024390243902,119.5,110.1,9.4,0.561,0.591,48.2,0.368,17.8,96.59,0.628,2.2,19.0,0.122,0.291,0.717,0.506,0.212,0.542,116.3,0.462,0.799,107.2,0.45
Brooklyn Nets,2024-25,2025,2020s,82,26,56,0.3170731707317073,108.1,115.4,-7.3,0.516,0.552,39.4,0.344,13.6,96.73,0.669,1.66,18.4,0.156,0.294,0.699,0.487,0.24,0.452,105.1,0.437,0.787,112.2,0.48
Charlotte Hornets,2024-25,2025,2020s,82,19,63,0.2317073170731707,106.7,115.7,-9.1,0.503,0.537,38.3,0.339,13.0,98.22,0.635,1.57,17.5,0.157,0.308,0.705,0.5,0.222,0.45,105.1,0.43,0.783,114.2,0.467
