Team,SEASON,YEAR,ERA,GP,W,L,WIN_PCT,ORtg,DRtg,NRtg,eFG%,TS%,3PA,3P%,FG3M,Pace,AST%,AST_TO,AST_RATIO,TOV%,ORB%,DRB%,REB_PCT,FTA_RATE,PIE,PTS,FG%,FT%,OPP_OPP_PTS,OPP_OPP_FG_PCT
Portland Trail Blazers,1999-00,2000,1990s,82,59,23,0.7195121951219512,106.5,99.5,6.9,0.501,0.546,13.8,0.361,5.0,91.03,0.637,1.55,18.2,0.166,0.335,0.693,0.523,0.316,0.559,97.5,0.47,0.76,91.0,0.431
Sacramento Kings,1999-00,2000,1990s,82,44,38,0.5365853658536586,103.6,100.7,2.9,0.486,0.526,20.2,0.322,6.5,100.66,0.596,1.47,17.0,0.16,0.308,0.679,0.493,0.277,0.513,105.0,0.45,0.754,102.0,0.452
San Antonio Spurs,1999-00,2000,1990s,82,53,29,0.6463414634146342,103.5,97.1,6.4,0.488,0.535,10.8,0.374,4.0,92.11,0.616,1.48,17.3,0.162,0.301,0.703,0.512,0.346,0.556,96.2,0.462,0.746,90.2,0.425
Seattle SuperSonics,1999-00,2000,1990s,82,45,37,0.5487804878048781,104.0,103.1,1.0,0.487,0.52,19.6,0.339,6.7,94.74,0.604,1.63,17.2,0.148,0.312,0.673,0.491,0.282,0.496,99.1,0.447,0.695,98.1,0.451
Toronto Raptors,1999-00,2000,1990s,82,45,37,0.5487804878048781,102.7,102.8,-0.1,0.464,0.511,14.3,0.363,5.2,94.3,0.653,1.71,17.7,0.147,0.324,0.686,0.499,0.3,0.5,97.2,0.433,0.765,97.3,0.454
Utah Jazz,1999-00,2000,1990s,82,55,27,0.6707317073170732,105.7,101.1,4.6,0.49,0.54,10.4,0.385,4.0,90.84,0.689,1.67,19.1,0.163,0.329,0.698,0.516,0.337,0.551,96.5,0.464,0.773,92.0,0.446
Vancouver Grizzlies,1999-00,2000,1990s,82,22,60,0.2682926829268293,100.7,106.7,-6.0,0.474,0.524,11.0,0.361,4.0,92.46,0.588,1.23,16.2,0.181,0.326,0.679,0.501,0.32,0.457,93.9,0.449,0.774,99.5,0.474
Washington Wizards,1999-00,2000,1990s,82,29,53,0.3536585365853658,101.8,105.2,-3.4,0.476,0.521,10.9,0.376,4.1,94.33,0.588,1.34,16.4,0.17,0.329,0.686,0.506,0.315,0.471,96.6,0.451,0.743,99.9,0.459
Atlanta Hawks,2000-01,2001,2000s,82,25,57,0.3048780487804878,96.9,102.4,-5.5,0.456,0.5,11.4,0.357,4.1,93.63,0.542,1.14,14.9,0.178,0.313,0.691,0.501,0.272,0.452,91.0,0.431,0.759,96.2,0.442
Boston Celtics,2000-01,2001,2000s,82,36,46,0.4390243902439024,100.1,102.3,-2.2,0.473,0.521,19.9,0.363,7.2,93.81,0.616,1.33,16.2,0.166,0.28,0.69,0.478,0.338,0.468,94.6,0.428,0.74,96.8,0.459
Charlotte Hornets,2000-01,2001,2000s,82,46,36,0.5609756097560976,99.7,97.6,2.1,0.457,0.506,12.0,0.346,4.1,91.24,0.679,1.61,17.8,0.156,0.315,0.71,0.513,0.33,0.527,91.9,0.431,0.745,89.8,0.426
Chicago Bulls,2000-01,2001,2000s,82,15,67,0.1829268292682926,95.9,105.9,-10.0,0.45,0.495,11.6,0.346,4.0,90.47,0.665,1.4,17.4,0.173,0.302,0.673,0.48,0.298,0.432,87.6,0.424,0.739,96.7,0.472
Cleveland Cavaliers,2000-01,2001,2000s,82,30,52,0.3658536585365853,99.3,103.5,-4.2,0.459,0.509,8.0,0.334,2.7,92.32,0.591,1.27,16.2,0.177,0.331,0.678,0.505,0.312,0.469,92.2,0.442,0.765,96.5,0.445
Dallas Mavericks,2000-01,2001,2000s,82,53,29,0.6463414634146342,105.6,101.2,4.4,0.498,0.544,16.5,0.381,6.3,94.52,0.564,1.52,16.5,0.146,0.272,0.678,0.481,0.291,0.523,100.5,0.459,0.794,96.2,0.439
Denver Nuggets,2000-01,2001,2000s,82,40,42,0.4878048780487805,102.2,104.9,-2.8,0.47,0.511,17.6,0.355,6.2,93.98,0.661,1.73,18.0,0.147,0.306,0.69,0.497,0.286,0.48,96.6,0.433,0.737,99.0,0.446
Detroit Pistons,2000-01,2001,2000s,82,32,50,0.3902439024390244,98.5,100.3,-1.8,0.453,0.498,13.6,0.35,4.7,96.15,0.558,1.25,14.9,0.164,0.325,0.691,0.505,0.325,0.48,95.6,0.424,0.721,97.3,0.434
Golden State Warriors,2000-01,2001,2000s,82,17,65,0.2073170731707317,96.3,105.5,-9.2,0.429,0.47,11.8,0.293,3.4,95.7,0.609,1.37,15.9,0.165,0.357,0.68,0.504,0.282,0.427,92.5,0.409,0.706,101.5,0.472
Houston Rockets,2000-01,2001,2000s,82,45,37,0.5487804878048781,105.2,102.8,2.4,0.492,0.538,17.2,0.357,6.1,91.66,0.548,1.34,15.7,0.159,0.305,0.691,0.502,0.321,0.509,97.2,0.453,0.758,94.9,0.449
