team,rank_on_team,player_name,tier,GP,total_min,PTS,REB,AST,STL,BLK,TOV,composite_score,within_season_pct,potential_score
LA Clippers,6,Amir Coffey,Fringe,72,1748,9.7,2.2,1.1,0.6,0.1,0.6,0.3122,3.2,0.281
LA Clippers,7,Nicolas Batum,Fringe,78,1367,4.0,2.8,1.1,0.7,0.5,0.4,0.3303,5.9,0.2972
LA Clippers,8,Bogdan Bogdanović,Fringe,54,1348,10.8,2.9,2.7,0.8,0.2,1.4,0.3955,28.8,0.356
LA Clippers,9,Kawhi Leonard,Starter,37,1180,21.5,5.9,3.1,1.6,0.5,1.9,0.5526,83.5,0.4973
LA Clippers,10,Ben Simmons,Starter,51,1120,5.0,4.7,5.6,0.7,0.5,2.0,0.4933,66.9,0.444
Los Angeles Lakers,1,Austin Reaves,Starter,73,2550,20.2,4.5,5.8,1.1,0.3,2.4,0.5084,72.0,0.4576
Los Angeles Lakers,2,LeBron James,Star,70,2444,24.4,7.8,8.2,1.0,0.6,3.7,0.6678,97.6,0.601
Los Angeles Lakers,3,Rui Hachimura,Fringe,59,1869,13.1,5.0,1.4,0.8,0.4,0.8,0.3707,18.1,0.3336
Los Angeles Lakers,4,Dorian Finney-Smith,Fringe,63,1819,8.7,3.9,1.4,0.9,0.4,0.9,0.3166,3.7,0.2849
Los Angeles Lakers,5,Luka Dončić,Star,50,1769,28.2,8.2,7.7,1.8,0.4,3.6,0.7149,98.4,0.6435
Los Angeles Lakers,6,Gabe Vincent,Fringe,72,1527,6.4,1.3,1.4,0.7,0.2,0.6,0.2801,1.6,0.252
Los Angeles Lakers,7,Dalton Knecht,Fringe,78,1494,9.1,2.8,0.8,0.3,0.1,0.5,0.3732,18.9,0.3359
Los Angeles Lakers,8,Jaxson Hayes,Role Player,56,1093,6.8,4.8,1.0,0.6,0.9,0.8,0.433,45.3,0.3897
Los Angeles Lakers,9,Shake Milton,Fringe,57,836,5.5,1.8,1.8,0.4,0.1,0.7,0.3873,24.8,0.3486
Los Angeles Lakers,10,Maxi Kleber,Fringe,34,637,3.0,2.8,1.3,0.3,0.5,0.7,0.2754,1.1,0.2478
Memphis Grizzlies,1,Kentavious Caldwell-Pope,Fringe,77,2279,8.7,2.2,1.8,1.3,0.4,0.8,0.2964,2.4,0.2668
Memphis Grizzlies,2,Jaren Jackson Jr.,Starter,74,2207,22.2,5.6,2.0,1.2,1.5,2.1,0.5782,89.3,0.5204
Memphis Grizzlies,3,Jaylen Wells,Fringe,79,2044,10.4,3.4,1.7,0.6,0.1,0.9,0.3531,10.7,0.3178
Memphis Grizzlies,4,Scotty Pippen Jr.,Starter,79,1683,9.9,3.3,4.4,1.3,0.4,1.7,0.5376,78.1,0.4838
Memphis Grizzlies,5,Santi Aldama,Starter,65,1660,12.5,6.4,2.9,0.8,0.4,1.1,0.5221,75.5,0.4699
Memphis Grizzlies,6,Ja Morant,Star,50,1519,23.2,4.1,7.3,1.2,0.2,3.7,0.6384,96.0,0.5746
Memphis Grizzlies,7,Luke Kennard,Role Player,65,1472,8.9,2.8,3.3,0.8,0.1,1.1,0.4157,38.4,0.3741
Memphis Grizzlies,8,Zach Edey,Starter,66,1416,9.2,8.3,1.0,0.5,1.3,1.3,0.5502,82.7,0.4952
Memphis Grizzlies,9,Cole Anthony,Starter,67,1234,9.4,3.0,2.9,0.7,0.5,1.5,0.5066,71.5,0.456
Memphis Grizzlies,10,Brandon Clarke,Starter,64,1207,8.3,5.1,1.0,0.8,0.6,0.6,0.4893,65.1,0.4404
Miami Heat,1,Tyler Herro,Starter,77,2725,23.9,5.2,5.5,0.9,0.2,2.6,0.5437,79.7,0.4893
Miami Heat,2,Bam Adebayo,Starter,78,2674,18.1,9.6,4.3,1.3,0.7,2.1,0.5674,86.4,0.5107
Miami Heat,3,Davion Mitchell,Fringe,74,2027,7.9,2.3,4.9,1.0,0.2,1.7,0.3731,18.7,0.3358
Miami Heat,4,Andrew Wiggins,Role Player,60,1842,18.0,4.5,2.6,1.0,0.8,1.6,0.4778,59.7,0.43
Miami Heat,5,Haywood Highsmith,Fringe,74,1818,6.5,3.4,1.5,0.9,0.5,0.7,0.3238,4.8,0.2915
Miami Heat,6,Duncan Robinson,Fringe,74,1786,11.0,2.3,2.4,0.5,0.1,1.2,0.3742,19.2,0.3368
Miami Heat,7,Terry Rozier,Fringe,64,1658,10.6,3.7,2.6,0.6,0.2,1.2,0.3923,27.5,0.3531
Miami Heat,8,Kel'el Ware,Starter,64,1422,9.3,7.4,0.9,0.6,1.1,0.9,0.5096,72.3,0.4586
Miami Heat,9,Jaime Jaquez Jr.,Role Player,66,1368,8.6,4.4,2.5,0.9,0.2,1.5,0.4666,55.5,0.4199
Miami Heat,10,Nikola Jović,Role Player,46,1156,10.7,3.9,2.8,0.8,0.3,1.3,0.4277,42.1,0.3849
Milwaukee Bucks,1,Brook Lopez,Role Player,80,2546,13.0,5.0,1.8,0.6,1.9,1.1,0.409,33.9,0.3681
Milwaukee Bucks,2,Giannis Antetokounmpo,Superstar,67,2289,30.4,11.9,6.5,0.9,1.2,3.1,0.75,99.9,0.675
Milwaukee Bucks,3,Taurean Prince,Fringe,80,2166,8.2,3.6,1.9,0.9,0.2,1.0,0.3285,5.3,0.2957
Milwaukee Bucks,4,Damian Lillard,Starter,58,2093,24.9,4.7,7.1,1.2,0.2,2.8,0.578,88.8,0.5202
Milwaukee Bucks,5,Kyle Kuzma,Role Player,65,1936,14.8,5.7,2.3,0.6,0.3,2.2,0.4273,41.9,0.3846
Milwaukee Bucks,6,Gary Trent Jr.,Fringe,74,1893,11.1,2.3,1.2,1.0,0.1,0.6,0.3403,7.7,0.3062
Milwaukee Bucks,7,AJ Green,Fringe,73,1659,7.4,2.4,1.5,0.5,0.1,0.5,0.308,2.7,0.2772
Milwaukee Bucks,8,Kevin Porter Jr.,Starter,75,1482,10.3,3.7,3.4,1.1,0.2,1.8,0.5376,78.4,0.4838
Milwaukee Bucks,9,Bobby Portis,Starter,49,1244,13.9,8.4,2.1,0.7,0.5,1.2,0.5714,88.0,0.5143
Milwaukee Bucks,10,Andre Jackson Jr.,Fringe,67,980,3.4,2.7,1.2,0.5,0.2,0.9,0.3415,8.5,0.3074
Minnesota Timberwolves,1,Anthony Edwards,Starter,79,2871,27.6,5.7,4.5,1.2,0.6,3.2,0.5689,86.7,0.512
Minnesota Timberwolves,2,Jaden McDaniels,Role Player,82,2614,12.2,5.7,2.0,1.3,0.9,1.2,0.4096,34.7,0.3687
Minnesota Timberwolves,3,Rudy Gobert,Starter,72,2388,12.0,10.9,1.8,0.8,1.4,1.2,0.4851,63.2,0.4366
Minnesota Timberwolves,4,Julius Randle,Starter,69,2226,18.7,7.1,4.7,0.7,0.2,2.8,0.5305,76.8,0.4775
Minnesota Timberwolves,5,Naz Reid,Starter,80,2200,14.2,6.0,2.3,0.7,0.9,1.4,0.4933,67.2,0.444
Minnesota Timberwolves,6,Nickeil Alexander-Walker,Fringe,82,2073,9.4,3.2,2.7,0.6,0.4,1.2,0.3805,21.9,0.3425
Minnesota Timberwolves,7,Mike Conley,Role Player,71,1756,8.2,2.6,4.5,1.1,0.2,1.1,0.4232,40.8,0.3809
Minnesota Timberwolves,8,Donte DiVincenzo,Role Player,62,1606,11.7,3.7,3.6,1.2,0.3,1.6,0.4574,51.7,0.4117
Minnesota Timberwolves,9,Jaylen Clark,Fringe,40,522,4.1,1.3,0.7,0.9,0.1,0.2,0.3301,5.6,0.297
Minnesota Timberwolves,10,Rob Dillingham,Role Player,49,516,4.5,1.0,2.0,0.4,0.0,1.1,0.4296,43.5,0.3866
New Orleans Pelicans,1,Yves Missi,Role Player,73,1956,9.1,8.2,1.4,0.5,1.3,1.1,0.4593,52.8,0.4134
New Orleans Pelicans,2,Trey Murphy III,Starter,53,1854,21.2,5.1,3.5,1.1,0.7,1.9,0.4911,66.1,0.442
New Orleans Pelicans,3,CJ McCollum,Starter,56,1832,21.1,3.8,4.1,0.8,0.4,1.9,0.4965,67.7,0.4469
New Orleans Pelicans,4,Jose Alvarado,Role Player,56,1366,10.3,2.4,4.6,1.3,0.2,1.5,0.4679,56.3,0.4211
New Orleans Pelicans,5,Jordan Hawkins,Fringe,56,1320,10.8,2.8,1.2,0.5,0.4,1.0,0.3637,14.9,0.3273
